"read a11";"";"read a32";"";"read b23";"";"c121 = a12 * b11";"";"";"";"";"";"c212 = a21 * b22";"";"";"";"";"";"c233 = a33 * b23";"";"";"";"";"";"c331 = a13 * b31";"";"";"";"";"";"d23 = c231 + c232";"";"";"e21 = d21 + c213";"";"";"write e12";"";"write e33";"";""
"read a12";"";"read a33";"";"read b31";"";"c122 = a22 * b12";"";"";"";"";"";"c213 = a31 * b23";"";"";"";"";"";"c311 = a11 * b31";"";"";"";"";"";"c332 = a23 * b32";"";"";"";"";"";"d31 = c311 + c312";"";"";"e22 = d22 + c223";"";"";"write e13";"";"";"";""
"read a13";"";"read b11";"";"read b32";"";"c123 = a32 * b13";"";"";"";"";"";"c221 = a12 * b21";"";"";"";"";"";"c312 = a21 * b32";"";"";"";"";"";"c333 = a33 * b33";"";"";"";"";"";"d32 = c321 + c322";"";"";"e23 = d23 + c233";"";"";"write e21";"";"";"";""
"read a21";"";"read b12";"";"read b33";"";"c131 = a13 * b11";"";"";"";"";"";"c222 = a22 * b22";"";"";"";"";"";"c313 = a31 * b33";"";"";"";"";"";"d11 = c111 + c112";"";"";"d12 = c121 + c122";"";"";"d33 = c331 + c332";"";"";"e31 = d31 + c313";"";"";"write e22";"";"";"";""
"read a22";"";"read b13";"";"c111 = a11 * b11";"";"";"";"";"";"c132 = a23 * b12";"";"";"";"";"";"c223 = a32 * b23";"";"";"";"";"";"c321 = a12 * b31";"";"";"";"";"";"d13 = c131 + c132";"";"";"e11 = d11 + c113";"";"";"e32 = d32 + c323";"";"";"write e31";"";"";""
"read a23";"";"read b21";"";"c112 = a21 * b12";"";"";"";"";"";"c133 = a33 * b13";"";"";"";"";"";"c231 = a13 * b21";"";"";"";"";"";"c322 = a22 * b32";"";"";"";"";"";"d21 = c211 + c212";"";"";"e12 = d12 + c123";"";"";"e33 = d33 + c333";"";"";"write e32";"";"";""
"read a31";"";"read b22";"";"c113 = a31 * b13";"";"";"";"";"";"c211 = a11 * b21";"";"";"";"";"";"c232 = a23 * b22";"";"";"";"";"";"c323 = a32 * b33";"";"";"";"";"";"d22 = c221 + c222";"";"";"e13 = d13 + c133";"";"";"write e11";"";"write e23";"";"";"";""
"0";"7 +a11 +a12 +a13 +a21 +a22 +a23 +a31";"7 a11 a12 a13 a21 a22 a23 a31";"14 a11 a12 a13 a21 a22 a23 a31 +a32 +a33 +b11 +b12 +b13 +b21 +b22";"14 a11 a12 a13 a21 a22 a23 a31 a32 a33 b11 b12 b13 b21 b22";"18 a11 a12 a13 a21 a22 a23 a31 a32 a33 b11 b12 b13 b21 b22 +b23 +b31 +b32 +b33";"18 a11 a12 a13 a21 a22 a23 a31 a32 a33 b11 b12 b13 b21 b22 b23 b31 b32 b33";"18 a11 a12 a13 a21 a22 a23 a31 a32 a33 b11 b12 b13 b21 b22 b23 b31 b32 b33";"18 a11 a12 a13 a21 a22 a23 a31 a32 a33 b11 b12 b13 b21 b22 b23 b31 b32 b33";"21 a11 a12 a13 a21 a22 a23 a31 a32 a33 b11 b12 b13 b21 b22 b23 b31 b32 b33 +c111 +c112 +c113";"21 a11 a12 a13 a21 a22 a23 a31 a32 a33 b11 b12 b13 b21 b22 b23 b31 b32 b33 c111 c112 c113";"24 a11 a12 a13 a21 a22 a23 a31 a32 a33 b12 b13 b21 b22 b23 b31 b32 b33 c111 c112 c113 +c121 +c122 +c123 +c131 -b11";"24 a11 a12 a13 a21 a22 a23 a31 a32 a33 b12 b13 b21 b22 b23 b31 b32 b33 c111 c112 c113 c121 c122 c123 c131";"24 a11 a12 a13 a21 a22 a23 a31 a32 a33 b12 b13 b21 b22 b23 b31 b32 b33 c111 c112 c113 c121 c122 c123 c131";"24 a11 a12 a13 a21 a22 a23 a31 a32 a33 b12 b13 b21 b22 b23 b31 b32 b33 c111 c112 c113 c121 c122 c123 c131";"25 a11 a12 a13 a21 a22 a23 a31 a32 a33 b21 b22 b23 b31 b32 b33 c111 c112 c113 c121 c122 c123 c131 +c132 +c133 +c211 -b12 -b13";"25 a11 a12 a13 a21 a22 a23 a31 a32 a33 b21 b22 b23 b31 b32 b33 c111 c112 c113 c121 c122 c123 c131 c132 c133 c211";"29 a11 a12 a13 a21 a22 a23 a31 a32 a33 b21 b22 b23 b31 b32 b33 c111 c112 c113 c121 c122 c123 c131 c132 c133 c211 +c212 +c213 +c221 +c222";"29 a11 a12 a13 a21 a22 a23 a31 a32 a33 b21 b22 b23 b31 b32 b33 c111 c112 c113 c121 c122 c123 c131 c132 c133 c211 c212 c213 c221 c222";"29 a11 a12 a13 a21 a22 a23 a31 a32 a33 b21 b22 b23 b31 b32 b33 c111 c112 c113 c121 c122 c123 c131 c132 c133 c211 c212 c213 c221 c222";"29 a11 a12 a13 a21 a22 a23 a31 a32 a33 b21 b22 b23 b31 b32 b33 c111 c112 c113 c121 c122 c123 c131 c132 c133 c211 c212 c213 c221 c222";"30 a11 a12 a13 a21 a22 a23 a31 a32 a33 b23 b31 b32 b33 c111 c112 c113 c121 c122 c123 c131 c132 c133 c211 c212 c213 c221 c222 +c223 +c231 +c232 -b21 -b22";"30 a11 a12 a13 a21 a22 a23 a31 a32 a33 b23 b31 b32 b33 c111 c112 c113 c121 c122 c123 c131 c132 c133 c211 c212 c213 c221 c222 c223 c231 c232";"30 a12 a13 a22 a23 a32 a33 b31 b32 b33 c111 c112 c113 c121 c122 c123 c131 c132 c133 c211 c212 c213 c221 c222 c223 c231 c232 +c233 +c311 +c312 +c313 -b23 -a11 -a21 -a31";"30 a12 a13 a22 a23 a32 a33 b31 b32 b33 c111 c112 c113 c121 c122 c123 c131 c132 c133 c211 c212 c213 c221 c222 c223 c231 c232 c233 c311 c312 c313";"30 a12 a13 a22 a23 a32 a33 b31 b32 b33 c111 c112 c113 c121 c122 c123 c131 c132 c133 c211 c212 c213 c221 c222 c223 c231 c232 c233 c311 c312 c313";"29 a12 a13 a22 a23 a32 a33 b31 b32 b33 c113 c121 c122 c123 c131 c132 c133 c211 c212 c213 c221 c222 c223 c231 c232 c233 c311 c312 c313 +d11 -c111 -c112";"29 a13 a23 a33 b31 b32 b33 c113 c121 c122 c123 c131 c132 c133 c211 c212 c213 c221 c222 c223 c231 c232 c233 c311 c312 c313 d11 +c321 +c322 +c323 -a12 -a22 -a32";"29 a13 a23 a33 b31 b32 b33 c113 c121 c122 c123 c131 c132 c133 c211 c212 c213 c221 c222 c223 c231 c232 c233 c311 c312 c313 d11 c321 c322 c323";"25 c113 c123 c131 c132 c133 c211 c212 c213 c221 c222 c223 c231 c232 c233 c311 c312 c313 d11 c321 c322 c323 +c331 +c332 +c333 +d12 -a13 -b31 -a23 -b32 -a33 -b33 -c121 -c122";"22 c113 c123 c133 c213 c223 c231 c232 c233 c311 c312 c313 d11 c321 c322 c323 c331 c332 c333 d12 +d13 +d21 +d22 -c131 -c132 -c211 -c212 -c221 -c222";"22 c113 c123 c133 c213 c223 c231 c232 c233 c311 c312 c313 d11 c321 c322 c323 c331 c332 c333 d12 d13 d21 d22";"18 c113 c123 c133 c213 c223 c233 c313 d11 c323 c333 d12 d13 d21 d22 +d23 +d31 +d32 +d33 -c231 -c232 -c311 -c312 -c321 -c322 -c331 -c332";"15 c213 c223 c233 c313 c323 c333 d21 d22 d23 d31 d32 d33 +e11 +e12 +e13 -d11 -c113 -d12 -c123 -d13 -c133";"15 c213 c223 c233 c313 c323 c333 d21 d22 d23 d31 d32 d33 e11 e12 e13";"10 c323 c333 d32 d33 e12 e13 +e21 +e22 +e23 +e31 -d21 -c213 -d22 -c223 -d23 -c233 -d31 -c313 -e11";"8 e12 e13 e21 e22 e23 e31 +e32 +e33 -d32 -c323 -d33 -c333";"3 e31 e32 e33 -e12 -e13 -e21 -e22 -e23";"1 e33 -e31 -e32";"0 -e33";""
